"","looker_id","Gender","ID","set","width","width_horiz","sc_width","sc_width_horiz","ir_width","ir_width_horiz","ir_width_alt","height","sc_height","ir_height","complete_area","eye_opening_area","iris_pupil_area","sclera_area","hac","hrc","ril","iris_centroid_y","luminance_slope_abs","whr","ssi","ssi_alt","ssr"
"59","M04","m","04","left",27.9321015679093,27.945,25.9771654342809,25.982,12.4894374973415,12.504,12.0521850325032,11.2499191445436,11.1930262186199,10.2367253628079,211.685,207.228,102.998,104.23,124.411,109.15,0.0846074608196601,56.455,17.1320177914871,2.48287131747582,2.07993077669114,2.15539052580289,0.502972571274152
"60","M04","m","04","right",27.6278509660089,27.615,24.992998239507,24.865,12.3807813969878,12.347,12.0378559298151,10.3376943230306,10.2928992370421,10.1250072944497,189.204,182.544,99.465,83.079,106.746,99.6726,0.0788229202623404,58.036,14.3597401025062,2.67253510335074,2.42817865636556,2.07620014604136,0.455117670260321
"61","M05","m","05","left",26.9428836615534,26.866,24.6806221355946,24.693,11.8734006080819,11.883,10.9950082320133,9.06021679875963,9.01306870779589,8.96892095549315,177.769,169.172,86.206,82.966,120.388,129.938,0.0988652354860924,51.432,10.7335948644793,2.97375705901893,2.07864814388517,2.2447115649931,0.490423947225309
"62","M05","m","05","right",27.3972198772065,27.402,24.0020766184928,23.983,11.7980216138131,11.825,11.1128050880753,8.64604992966659,8.59965033535384,8.58303839967501,162.761,154.137,83.517,70.62,105.141,107.049,0.0701164775491072,53.307,14.2544739696312,3.16875568613135,2.79105262220005,2.15985760825127,0.458163841258102
"63","M06","m","06","left",27.6659938914184,27.687,24.2352837202291,24.217,11.8862677068961,11.835,11.6137588392608,8.25199645968175,8.22275020294425,8.32021217713371,149.789,142.704,81.253,61.451,146.46,106.781,0.053625314198205,54.791,20.3041603704269,3.35264248192436,2.03893133806573,2.08677346031163,0.430618623164032
"64","M06","m","06","right",27.2525786302874,27.197,24.5901473155408,24.591,11.8619828443646,11.763,11.5400438743852,8.04384570675177,7.98254584780086,8.05432221178471,147.149,138.121,81.893,56.228,123.766,106.454,0.0766969794176669,52.815,15.3780969657812,3.3880036519612,3.08048933064572,2.13085388437061,0.407092332085635
"65","M07","m","07","left",25.1384532738194,25.124,21.4565574358982,21.42,12.1992960862502,12.094,11.4145275153173,6.23708799300636,6.2292676279062,6.23329895217014,92.292,90.01,61.49,28.52,95,100.31,0.102407720427405,57.621,10.9116386984138,4.03047917586013,1.75883569709254,1.87975870285524,0.31685368292412
"66","M07","m","07","right",25.7978506469047,25.787,22.6170980676125,22.544,12.2722567199354,12.281,11.3516831746508,6.77500644835257,6.77793984331298,6.82160717504432,108.422,104.987,67.349,37.638,109.436,107.142,0.108319074390939,57.883,15.9165745534935,3.80779720928203,3.33686910631498,1.99240039733651,0.358501528760704
"67","M08","m","08","left",25.468648727406,25.387,21.7290465966641,21.742,11.9627864646996,11.829,11.4562577227841,9.0872480691704,9.05190300229215,9.62585583406741,154.992,147.123,91.302,55.821,118.181,97.9363,0.0777700609456328,56.223,17.0174377582905,2.80268003399308,1.81638673069885,1.89669673312687,0.379417222324178
"68","M08","m","08","right",26.0170192181964,26.035,22.9318034615684,22.865,11.8779122744698,11.699,11.2212196783754,9.37738325667516,9.32407071657879,10.0063939781485,159.519,153.135,91.382,61.753,107.586,124.162,0.124163532457383,59.504,15.3014464308572,2.77444341412372,2.45941972756536,2.04361059838804,0.403258562706109
"69","M09","m","09","left",27.0708642085915,26.926,23.1562806167139,23.174,11.9655068425871,11.859,11.4420148705284,9.1889224768401,9.08264254371837,9.39769880583646,163.11,150.719,88.026,62.693,127.067,106.058,0.0637562628941939,61.214,12.765292693463,2.94603249475891,1.93525279968058,2.02379396275374,0.415959500792866
