id,Photo_id,Attractiveness,SSI,RIL,WHR,Photo_Sex
2m,4221,4,1.8095238095238100,40.45584045584050,2.453781512605040,F
3m,4221,3,1.8095238095238100,40.45584045584050,2.453781512605040,F
4m,4221,3,1.8095238095238100,40.45584045584050,2.453781512605040,F
5m,4221,4,1.8095238095238100,40.45584045584050,2.453781512605040,F
6m,4221,2,1.8095238095238100,40.45584045584050,2.453781512605040,F
7m,4221,2,1.8095238095238100,40.45584045584050,2.453781512605040,F
8m,4221,4,1.8095238095238100,40.45584045584050,2.453781512605040,F
9m,4221,3,1.8095238095238100,40.45584045584050,2.453781512605040,F
10m,4221,1,1.8095238095238100,40.45584045584050,2.453781512605040,F
11m,4221,1,1.8095238095238100,40.45584045584050,2.453781512605040,F
12m,4221,5,1.8095238095238100,40.45584045584050,2.453781512605040,F
13m,4221,2,1.8095238095238100,40.45584045584050,2.453781512605040,F
14m,4221,3,1.8095238095238100,40.45584045584050,2.453781512605040,F
15m,4221,2,1.8095238095238100,40.45584045584050,2.453781512605040,F
16m,4221,4,1.8095238095238100,40.45584045584050,2.453781512605040,F
17m,4221,2,1.8095238095238100,40.45584045584050,2.453781512605040,F
18m,4221,5,1.8095238095238100,40.45584045584050,2.453781512605040,F
19m,4221,3,1.8095238095238100,40.45584045584050,2.453781512605040,F
20m,4221,3,1.8095238095238100,40.45584045584050,2.453781512605040,F
21m,4221,1,1.8095238095238100,40.45584045584050,2.453781512605040,F
22m,4221,1,1.8095238095238100,40.45584045584050,2.453781512605040,F
23m,4221,2,1.8095238095238100,40.45584045584050,2.453781512605040,F
24m,4221,1,1.8095238095238100,40.45584045584050,2.453781512605040,F
25m,4221,1,1.8095238095238100,40.45584045584050,2.453781512605040,F
26m,4221,4,1.8095238095238100,40.45584045584050,2.453781512605040,F
27m,4221,3,1.8095238095238100,40.45584045584050,2.453781512605040,F
28m,4221,1,1.8095238095238100,40.45584045584050,2.453781512605040,F
29m,4221,4,1.8095238095238100,40.45584045584050,2.453781512605040,F
30m,4221,2,1.8095238095238100,40.45584045584050,2.453781512605040,F
1m,4231,1,1.762962962962960,40.74074074074070,2.6226415094339600,F
2m,4231,2,1.762962962962960,40.74074074074070,2.6226415094339600,F
3m,4231,2,1.762962962962960,40.74074074074070,2.6226415094339600,F
4m,4231,1,1.762962962962960,40.74074074074070,2.6226415094339600,F
5m,4231,3,1.762962962962960,40.74074074074070,2.6226415094339600,F
6m,4231,2,1.762962962962960,40.74074074074070,2.6226415094339600,F
7m,4231,5,1.762962962962960,40.74074074074070,2.6226415094339600,F
8m,4231,4,1.762962962962960,40.74074074074070,2.6226415094339600,F
9m,4231,3,1.762962962962960,40.74074074074070,2.6226415094339600,F
10m,4231,1,1.762962962962960,40.74074074074070,2.6226415094339600,F
11m,4231,1,1.762962962962960,40.74074074074070,2.6226415094339600,F
12m,4231,1,1.762962962962960,40.74074074074070,2.6226415094339600,F
13m,4231,1,1.762962962962960,40.74074074074070,2.6226415094339600,F
14m,4231,2,1.762962962962960,40.74074074074070,2.6226415094339600,F
15m,4231,1,1.762962962962960,40.74074074074070,2.6226415094339600,F
16m,4231,2,1.762962962962960,40.74074074074070,2.6226415094339600,F
17m,4231,2,1.762962962962960,40.74074074074070,2.6226415094339600,F
18m,4231,4,1.762962962962960,40.74074074074070,2.6226415094339600,F
19m,4231,3,1.762962962962960,40.74074074074070,2.6226415094339600,F
20m,4231,3,1.762962962962960,40.74074074074070,2.6226415094339600,F
21m,4231,1,1.762962962962960,40.74074074074070,2.6226415094339600,F
22m,4231,1,1.762962962962960,40.74074074074070,2.6226415094339600,F
23m,4231,1,1.762962962962960,40.74074074074070,2.6226415094339600,F
24m,4231,1,1.762962962962960,40.74074074074070,2.6226415094339600,F
25m,4231,1,1.762962962962960,40.74074074074070,2.6226415094339600,F
26m,4231,3,1.762962962962960,40.74074074074070,2.6226415094339600,F
27m,4231,5,1.762962962962960,40.74074074074070,2.6226415094339600,F
28m,4231,3,1.762962962962960,40.74074074074070,2.6226415094339600,F
29m,4231,3,1.762962962962960,40.74074074074070,2.6226415094339600,F
30m,4231,3,1.762962962962960,40.74074074074070,2.6226415094339600,F
1m,4241,1,1.9541984732824400,42.10526315789470,2.330769230769230,F
2m,4241,2,1.9541984732824400,42.10526315789470,2.330769230769230,F
3m,4241,1,1.9541984732824400,42.10526315789470,2.330769230769230,F
4m,4241,2,1.9541984732824400,42.10526315789470,2.330769230769230,F
5m,4241,2,1.9541984732824400,42.10526315789470,2.330769230769230,F
6m,4241,2,1.9541984732824400,42.10526315789470,2.330769230769230,F
7m,4241,3,1.9541984732824400,42.10526315789470,2.330769230769230,F
8m,4241,5,1.9541984732824400,42.10526315789470,2.330769230769230,F
9m,4241,3,1.9541984732824400,42.10526315789470,2.330769230769230,F
10m,4241,1,1.9541984732824400,42.10526315789470,2.330769230769230,F
11m,4241,1,1.9541984732824400,42.10526315789470,2.330769230769230,F
12m,4241,2,1.9541984732824400,42.10526315789470,2.330769230769230,F
13m,4241,3,1.9541984732824400,42.10526315789470,2.330769230769230,F
14m,4241,1,1.9541984732824400,42.10526315789470,2.330769230769230,F
15m,4241,2,1.9541984732824400,42.10526315789470,2.330769230769230,F
16m,4241,2,1.9541984732824400,42.10526315789470,2.330769230769230,F
17m,4241,1,1.9541984732824400,42.10526315789470,2.330769230769230,F
