number,id,Photo_id,Attractiveness,SSI,RIL,WHR,Photo_Sex
316,16k,7060,2,1.84962406,29.13385827,2.464,M
317,17k,7060,1,1.84962406,29.13385827,2.464,M
318,18k,7060,2,1.84962406,29.13385827,2.464,M
319,19k,7060,2,1.84962406,29.13385827,2.464,M
320,20k,7060,1,1.84962406,29.13385827,2.464,M
321,21k,7060,2,1.84962406,29.13385827,2.464,M
322,22k,7060,3,1.84962406,29.13385827,2.464,M
323,23k,7060,1,1.84962406,29.13385827,2.464,M
324,24k,7060,1,1.84962406,29.13385827,2.464,M
325,25k,7060,3,1.84962406,29.13385827,2.464,M
326,26k,7060,1,1.84962406,29.13385827,2.464,M
327,27k,7060,1,1.84962406,29.13385827,2.464,M
328,28k,7060,1,1.84962406,29.13385827,2.464,M
329,29k,7060,1,1.84962406,29.13385827,2.464,M
330,30k,7060,1,1.84962406,29.13385827,2.464,M
331,1k,7070,2,2,38.70967742,2.728971963,M
332,2k,7070,1,2,38.70967742,2.728971963,M
333,3k,7070,3,2,38.70967742,2.728971963,M
334,4k,7070,3,2,38.70967742,2.728971963,M
335,5k,7070,1,2,38.70967742,2.728971963,M
336,6k,7070,2,2,38.70967742,2.728971963,M
337,7k,7070,1,2,38.70967742,2.728971963,M
338,8k,7070,2,2,38.70967742,2.728971963,M
339,9k,7070,1,2,38.70967742,2.728971963,M
340,10k,7070,1,2,38.70967742,2.728971963,M
341,11k,7070,3,2,38.70967742,2.728971963,M
342,12k,7070,3,2,38.70967742,2.728971963,M
343,13k,7070,2,2,38.70967742,2.728971963,M
344,14k,7070,4,2,38.70967742,2.728971963,M
345,15k,7070,2,2,38.70967742,2.728971963,M
346,16k,7070,2,2,38.70967742,2.728971963,M
347,17k,7070,2,2,38.70967742,2.728971963,M
348,18k,7070,2,2,38.70967742,2.728971963,M
349,19k,7070,3,2,38.70967742,2.728971963,M
350,20k,7070,1,2,38.70967742,2.728971963,M
351,21k,7070,2,2,38.70967742,2.728971963,M
352,22k,7070,3,2,38.70967742,2.728971963,M
353,23k,7070,1,2,38.70967742,2.728971963,M
354,24k,7070,2,2,38.70967742,2.728971963,M
355,25k,7070,2,2,38.70967742,2.728971963,M
356,26k,7070,1,2,38.70967742,2.728971963,M
357,27k,7070,1,2,38.70967742,2.728971963,M
358,28k,7070,1,2,38.70967742,2.728971963,M
359,29k,7070,1,2,38.70967742,2.728971963,M
